,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
82,2020-05-11,sh.601398,4.8569323600,4.8854466400,4.8474276000,4.8854466400,4.8474276000,113051885,579421726.0000,2,0.041900,1,0.784300,5.820948,0.716235,2.163758,2.470581,0
83,2020-05-12,sh.601398,4.8759418800,4.8949514000,4.8569323600,4.8759418800,4.8854466400,101632081,521289496.0000,2,0.037700,1,-0.194500,5.809624,0.714841,2.159548,2.465774,0
84,2020-05-13,sh.601398,4.8664371200,4.8759418800,4.8569323600,4.8759418800,4.8759418800,55628021,284796153.0000,2,0.020600,1,0.000000,5.809624,0.714841,2.159548,2.465774,0
85,2020-05-14,sh.601398,4.8664371200,4.8759418800,4.8379228400,4.8474276000,4.8759418800,81152500,414442713.0000,2,0.030100,1,-0.584800,5.775649,0.710661,2.146919,2.451354,0
86,2020-05-15,sh.601398,4.8474276000,4.8664371200,4.8284180800,4.8379228400,4.8474276000,95906130,488458006.0000,2,0.035600,1,-0.196100,5.764324,0.709267,2.142709,2.446548,0
87,2020-05-18,sh.601398,4.8379228400,4.8474276000,4.8189133200,4.8474276000,4.8379228400,93617881,476194382.0000,2,0.034700,1,0.196500,5.775649,0.710661,2.146919,2.451354,0
88,2020-05-19,sh.601398,4.8664371200,4.8759418800,4.8474276000,4.8664371200,4.8474276000,136180096,696256254.0000,2,0.050500,1,0.392200,5.798299,0.713448,2.155338,2.460968,0
89,2020-05-20,sh.601398,4.8569323600,4.8664371200,4.8474276000,4.8664371200,4.8664371200,86764868,443325188.0000,2,0.032200,1,0.000000,5.798299,0.713448,2.155338,2.460968,0
90,2020-05-21,sh.601398,4.8664371200,4.8759418800,4.8474276000,4.8474276000,4.8664371200,81003105,414491659.0000,2,0.030000,1,-0.390600,5.775649,0.710661,2.146919,2.451354,0
91,2020-05-22,sh.601398,4.8474276000,4.8569323600,4.7999038000,4.7999038000,4.8474276000,143377084,727859693.0000,2,0.053200,1,-0.980400,5.719025,0.703693,2.125871,2.427321,0
92,2020-05-25,sh.601398,4.8094085600,4.8474276000,4.7903990400,4.8379228400,4.7999038000,105506493,535413169.0000,2,0.039100,1,0.792100,5.764324,0.709267,2.142709,2.446548,0
93,2020-05-26,sh.601398,4.8474276000,4.8569323600,4.8284180800,4.8284180800,4.8379228400,92522125,471204943.0000,2,0.034300,1,-0.196500,5.753000,0.707874,2.138500,2.441741,0
94,2020-05-27,sh.601398,4.8284180800,4.8759418800,4.8284180800,4.8664371200,4.8284180800,119594005,611685990.0000,2,0.044400,1,0.787400,5.798299,0.713448,2.155338,2.460968,0
95,2020-05-28,sh.601398,4.8664371200,4.9234656800,4.8664371200,4.9139609200,4.8664371200,145728739,751332007.0000,2,0.054100,1,0.976600,5.854923,0.720415,2.176387,2.485000,0
96,2020-05-29,sh.601398,4.8854466400,4.8949514000,4.8474276000,4.8664371200,4.9139609200,125761411,644333222.0000,2,0.046600,1,-0.967100,5.798299,0.713448,2.155338,2.460968,0
97,2020-06-01,sh.601398,4.8759418800,4.9044561600,4.8664371200,4.9044561600,4.8664371200,105007887,540140879.0000,2,0.038900,1,0.781200,5.843598,0.719021,2.172177,2.480194,0
98,2020-06-02,sh.601398,4.8949514000,4.9329704400,4.8759418800,4.9329704400,4.9044561600,152829199,788749046.0000,2,0.056700,1,0.581400,5.877573,0.723202,2.184806,2.494614,0
99,2020-06-03,sh.601398,4.9424752000,4.9804942400,4.9234656800,4.9329704400,4.9329704400,134546779,700101340.0000,2,0.049900,1,0.000000,5.877573,0.723202,2.184806,2.494614,0
100,2020-06-04,sh.601398,4.9424752000,4.9519799600,4.9139609200,4.9234656800,4.9329704400,76394115,396059493.0000,2,0.028300,1,-0.192700,5.866248,0.721808,2.180596,2.489807,0
101,2020-06-05,sh.601398,4.9329704400,4.9614847200,4.9044561600,4.9519799600,4.9234656800,109865757,569906514.0000,2,0.040700,1,0.579200,5.900222,0.725989,2.193225,2.504227,0
102,2020-06-08,sh.601398,4.9614847200,4.9995037600,4.9424752000,4.9804942400,4.9519799600,170929414,894672989.0000,2,0.063400,1,0.575800,5.934197,0.730169,2.205854,2.518646,0
103,2020-06-09,sh.601398,4.9804942400,5.0185132800,4.9709894800,4.9995037600,4.9804942400,118676521,624176016.0000,2,0.044000,1,0.381700,5.956846,0.732956,2.214273,2.528260,0
104,2020-06-10,sh.601398,5.0090085200,5.0185132800,4.9899990000,5.0090085200,4.9995037600,130116167,685774219.0000,2,0.048300,1,0.190100,5.968171,0.734349,2.218483,2.533066,0
105,2020-06-11,sh.601398,5.0090085200,5.0375228000,4.9804942400,5.0090085200,5.0090085200,201954547,1065079808.0000,2,0.074900,1,0.000000,5.968171,0.734349,2.218483,2.533066,0
106,2020-06-12,sh.601398,4.9709894800,5.0565323200,4.9424752000,4.9614847200,5.0090085200,379726032,2002673521.0000,2,0.140800,1,-0.948800,5.911547,0.727382,2.197435,2.509033,0
107,2020-06-15,sh.601398,4.9804942400,5.0470275600,4.9709894800,4.9804942400,4.9614847200,216077601,1137899837.0000,2,0.080100,1,0.383100,5.934197,0.730169,2.205854,2.518646,0
108,2020-06-16,sh.601398,5.0090085200,5.0470275600,4.9995037600,5.0375228000,4.9804942400,123037983,650847977.0000,2,0.045600,1,1.145000,6.002145,0.738530,2.231112,2.547486,0
109,2020-06-17,sh.601398,5.0185132800,5.0375228000,4.9899990000,4.9995037600,5.0375228000,87984468,463475830.0000,2,0.032600,1,-0.754700,5.956846,0.732956,2.214273,2.528260,0
110,2020-06-18,sh.601398,4.9424752000,4.9614847200,4.9044561600,4.9329704400,4.9995037600,210965506,1095065086.0000,2,0.078200,1,-1.330800,5.877573,0.723202,2.184806,2.494614,0
111,2020-06-19,sh.601398,4.9234656800,4.9519799600,4.8949514000,4.9424752000,4.9329704400,198605088,1029454851.0000,2,0.073700,1,0.192700,5.888897,0.724595,2.189016,2.499420,0
112,2020-06-22,sh.601398,4.9424752000,4.9614847200,4.9044561600,4.9044561600,4.9424752000,156983957,814365099.0000,2,0.058200,1,-0.769200,5.843598,0.719021,2.172177,2.480194,0
113,2020-06-23,sh.601398,4.9044561600,4.9044561600,4.8664371200,4.8854466400,4.9044561600,179893542,924358314.0000,2,0.066700,1,-0.387600,5.820948,0.716235,2.163758,2.470581,0
114,2020-06-24,sh.601398,4.8949514000,4.9804942400,4.8854466400,4.9614847200,4.8854466400,194172776,1008333086.0000,2,0.072000,1,1.556400,5.911547,0.727382,2.197435,2.509033,0
115,2020-06-29,sh.601398,5.0185132800,5.0470275600,4.9424752000,4.9899990000,4.9614847200,300096304,1574885416.0000,2,0.111300,1,0.574700,5.945521,0.731563,2.210064,2.523453,0
116,2020-06-30,sh.601398,5.0000000000,5.0300000000,4.9600000000,4.9800000000,4.9900000000,213559908,1064429272.0000,2,0.079200,1,-0.200400,5.639752,0.693939,2.096403,2.393675,0
117,2020-07-01,sh.601398,4.9800000000,4.9900000000,4.9200000000,4.9900000000,4.9800000000,195342430,968080285.0000,2,0.072500,1,0.200800,5.651076,0.695333,2.100613,2.398482,0
118,2020-07-02,sh.601398,4.9800000000,5.0700000000,4.9600000000,5.0600000000,4.9900000000,333639504,1672846064.0000,2,0.123700,1,1.402800,5.730350,0.705087,2.130081,2.432128,0
119,2020-07-03,sh.601398,5.0600000000,5.1800000000,5.0600000000,5.1600000000,5.0600000000,349460784,1791281772.0000,2,0.129600,1,1.976300,5.843598,0.719021,2.172177,2.480194,0
120,2020-07-06,sh.601398,5.2000000000,5.6100000000,5.1900000000,5.6000000000,5.1600000000,746359632,4044172401.0000,2,0.276800,1,8.527100,6.341889,0.780333,2.357401,2.691683,0
121,2020-07-07,sh.601398,5.6700000000,5.8500000000,5.5600000000,5.5600000000,5.6000000000,622456480,3518396225.0000,2,0.230900,1,-0.714300,6.296590,0.774760,2.340563,2.672457,0
122,2020-07-08,sh.601398,5.5200000000,5.5900000000,5.3800000000,5.4700000000,5.5600000000,613051056,3357353297.0000,2,0.227400,1,-1.618700,6.194667,0.762218,2.302676,2.629198,0
123,2020-07-09,sh.601398,5.4300000000,5.4500000000,5.3500000000,5.3800000000,5.4700000000,569342048,3064469064.0000,2,0.211200,1,-1.645300,6.092744,0.749677,2.264789,2.585939,0
124,2020-07-10,sh.601398,5.3600000000,5.3700000000,5.2000000000,5.2200000000,5.3800000000,626079328,3302585366.0000,2,0.232200,1,-2.974000,5.911547,0.727382,2.197435,2.509033,0
125,2020-07-13,sh.601398,5.2000000000,5.2500000000,5.1600000000,5.2100000000,5.2200000000,608928416,3167529369.0000,2,0.225900,1,-0.191600,5.900222,0.725989,2.193225,2.504227,0
126,2020-07-14,sh.601398,5.1900000000,5.2000000000,5.1300000000,5.1400000000,5.2100000000,463922048,2397441231.0000,2,0.172100,1,-1.343600,5.820948,0.716235,2.163758,2.470581,0
127,2020-07-15,sh.601398,5.1600000000,5.1800000000,5.0700000000,5.0800000000,5.1400000000,461149408,2355023798.0000,2,0.171000,1,-1.167300,5.753000,0.707874,2.138500,2.441741,0
128,2020-07-16,sh.601398,5.0800000000,5.1300000000,5.0500000000,5.0600000000,5.0800000000,492285808,2505984420.0000,2,0.182600,1,-0.393700,5.730350,0.705087,2.130081,2.432128,0
129,2020-07-17,sh.601398,5.0600000000,5.0800000000,5.0300000000,5.0600000000,5.0600000000,297529792,1504161297.0000,2,0.110400,1,0.000000,5.730350,0.705087,2.130081,2.432128,0
130,2020-07-20,sh.601398,5.0700000000,5.1400000000,5.0500000000,5.1300000000,5.0600000000,386592368,1974500422.0000,2,0.143400,1,1.383400,5.809624,0.714841,2.159548,2.465774,0
131,2020-07-21,sh.601398,5.1300000000,5.1400000000,5.0900000000,5.1000000000,5.1300000000,226253759,1154453551.2900,2,0.083900,1,-0.584800,5.775649,0.710661,2.146919,2.451354,0
